Photon E	Compt	     Photo-elec. Abs.	Pair	    Tot. wo/ Coherent
[keV]		[cm2/g]		[cm2/g]		[cm2/g]		[cm2/g]
1.00E+01	6.73E-02	1.38E+02	0.00E+00	1.38E+02
1.50E+01	8.41E-02	4.57E+01	0.00E+00	4.58E+01
2.00E+01	9.46E-02	2.06E+01	0.00E+00	2.07E+01
3.00E+01	1.07E-01	6.61E+00	0.00E+00	6.71E+00
3.32E+01	1.09E-01	4.97E+00	0.00E+00	5.08E+00
3.32E+01	1.09E-01	2.98E+01	0.00E+00	2.99E+01
4.00E+01	1.13E-01	1.82E+01	0.00E+00	1.84E+01
5.00E+01	1.16E-01	1.01E+01	0.00E+00	1.02E+01
6.00E+01	1.17E-01	6.11E+00	0.00E+00	6.23E+00
8.00E+01	1.17E-01	2.75E+00	0.00E+00	2.86E+00
1.00E+02	1.14E-01	1.46E+00	0.00E+00	1.58E+00
1.50E+02	1.07E-01	4.59E-01	0.00E+00	5.66E-01
2.00E+02	1.00E-01	2.02E-01	0.00E+00	3.02E-01
3.00E+02	8.86E-02	6.48E-02	0.00E+00	1.53E-01
4.00E+02	8.01E-02	2.99E-02	0.00E+00	1.10E-01
5.00E+02	7.35E-02	1.68E-02	0.00E+00	9.04E-02
6.00E+02	6.82E-02	1.08E-02	0.00E+00	7.90E-02
8.00E+02	6.01E-02	5.59E-03	0.00E+00	6.57E-02
1.00E+03	5.41E-02	3.49E-03	0.00E+00	5.76E-02
1.02E+03	5.36E-02	3.32E-03	0.00E+00	5.69E-02
1.25E+03	4.85E-02	2.24E-03	1.63E-04	5.09E-02
1.50E+03	4.41E-02	1.60E-03	7.59E-04	4.64E-02
2.00E+03	3.76E-02	9.76E-04	2.58E-03	4.12E-02
2.04E+03	3.72E-02	9.42E-04	2.75E-03	4.09E-02
3.00E+03	2.96E-02	5.18E-04	6.52E-03	3.67E-02
4.00E+03	2.47E-02	3.43E-04	1.00E-02	3.51E-02
5.00E+03	2.14E-02	2.54E-04	1.30E-02	3.47E-02
6.00E+03	1.89E-02	2.00E-04	1.56E-02	3.48E-02
7.00E+03	1.70E-02	1.65E-04	1.80E-02	3.53E-02
8.00E+03	1.54E-02	1.40E-04	2.00E-02	3.58E-02
9.00E+03	1.42E-02	1.21E-04	2.19E-02	3.65E-02
1.00E+04	1.32E-02	1.07E-04	2.37E-02	3.72E-02
1.10E+04	1.24E-02	1.00E-04	2.48E-02	3.80E-02
1.20E+04	1.16E-02	1.00E-04	2.57E-02	3.90E-02
1.30E+04	1.08E-02	1.00E-04	2.64E-02	4.00E-02
1.40E+04	1.01E-02	1.00E-04	2.68E-02	4.08E-02
1.50E+04	9.40E-03	1.00E-04	2.73E-02	4.17E-02
1.60E+04	8.70E-03	1.00E-04	2.76E-02	4.25E-02
1.70E+04	8.20E-03	1.00E-04	2.80E-02	4.30E-02
1.80E+04	7.80E-03	1.00E-04	2.82E-02	4.35E-02
